"BM5","min_BM","year"
3,0.000819707998297808,1970
5,0.0015633467220369,1970
4,0.00110562414266118,1970
2,0.000549777886790396,1970
1,1.18892810700353e-05,1970
3,0.000645950846091861,1971
4,0.000871597906721828,1971
5,0.00121131393229312,1971
2,0.000412925457756557,1971
1,3.67874911158493e-05,1971
4,0.000916116519892203,1972
3,0.000662442847811888,1972
5,0.00124675571289543,1972
2,0.000416899565492572,1972
1,4.78975215817313e-06,1972
3,0.000958223311811533,1973
5,0.00186290064102564,1973
4,0.00131030896380743,1973
2,0.000603716898592207,1973
1,3.2530549791444e-05,1973
3,0.00129963278962538,1974
4,0.00172164994425864,1974
5,0.00242959104938272,1974
2,0.000828904991201457,1974
1,1.13653357260355e-05,1974
3,0.00125157313810208,1975
5,0.00240637585796131,1975
4,0.00169765984890363,1975
2,0.000778625486411129,1975
1,4.35207596350773e-06,1975
3,0.001169797739869,1976
4,0.00153874898623331,1976
5,0.00209305219495334,1976
2,0.000763673057517659,1976
1,9.42460317460317e-06,1976
3,0.00112068419385493,1977
4,0.00147149996623219,1977
2,0.000746298149231941,1977
1,2.08695652173913e-06,1977
5,0.00201294985694925,1977
4,0.00130451801276289,1978
3,0.000972864857657177,1978
2,0.000638180909545227,1978
1,5.16742455560149e-07,1978
5,0.00173009918491604,1978
4,0.00136828467041233,1979
3,0.00101068677755203,1979
5,0.00182276217077929,1979
2,0.000621783953384133,1979
1,1.05446543187236e-06,1979
4,0.00142248835662009,1980
3,0.000988253126184161,1980
5,0.00195433381931054,1980
2,0.000551651729575441,1980
1,1.63492496994896e-06,1980
4,0.00103413167508596,1981
3,0.00064723792953458,1981
5,0.0015551576901458,1981
1,1.72844248127521e-06,1981
2,0.000340170426065163,1981
5,0.00185474947685524,1982
4,0.00131991199119912,1982
1,1.18259148212776e-06,1982
2,0.000487398665165831,1982
3,0.000869776871468561,1982
5,0.00122549159582062,1983
4,0.000821401851002178,1983
2,0.000279759265125119,1983
1,1.30705606045134e-06,1983
3,0.000508458675729375,1983
1,1.06194690265487e-06,1984
2,0.000377552106115597,1984
4,0.000929641319942611,1984
3,0.000633969181417197,1984
5,0.00133078112797268,1984
3,0.000600902051626219,1985
4,0.000877780577251477,1985
1,1.06769165065129e-06,1985
2,0.000347676419965577,1985
5,0.00122360532440111,1985
1,2.40974529346622e-07,1986
5,0.0010607465447818,1986
2,0.000288648160686075,1986
4,0.000727084683864391,1986
3,0.000492917754569191,1986
5,0.00106575316395471,1987
3,0.000506409356882655,1987
4,0.00073616026158399,1987
2,0.000286107020127639,1987
1,1.34085703111911e-07,1987
4,0.000901821115622074,1988
5,0.00128291208702411,1988
2,0.000370095512952656,1988
1,7.91379614909027e-07,1988
3,0.000625925881749544,1988
4,0.000850286317058469,1989
5,0.00122389590563765,1989
1,1.96282892719131e-06,1989
2,0.000337052188646801,1989
3,0.000590098705688059,1989
4,0.000912106918238994,1990
5,0.00139162915038383,1990
2,0.000325167259625217,1990
1,2.91390728476821e-07,1990
3,0.000600966902194124,1990
4,0.000926893166703649,1991
1,1.25881168177241e-07,1991
2,0.000334431892282477,1991
5,0.0014787708186723,1991
3,0.000609330046671544,1991
4,0.000829912313268394,1992
2,0.000309574759331996,1992
1,1.06410147271644e-07,1992
5,0.00130249602318628,1992
3,0.000540475511037843,1992
3,0.000534776417636021,1993
5,0.00122955687528552,1993
4,0.000789772675094543,1993
1,1.99818498197463e-07,1993
2,0.000305132815071788,1993
3,0.00052368435169787,1994
5,0.00113188019875367,1994
4,0.000763850949809204,1994
1,1.45290763139733e-07,1994
2,0.000317943427972457,1994
4,0.000810992420406228,1995
3,0.000545337183624936,1995
5,0.00116969940955448,1995
1,3.61984158778612e-07,1995
2,0.00032224253503961,1995
4,0.000680622953829208,1996
5,0.00101767276383464,1996
2,0.000234492036160138,1996
1,2.84486590606016e-07,1996
3,0.000430365296803653,1996
4,0.00069130461361937,1997
3,0.000478443417895862,1997
1,4.99894367559227e-07,1997
2,0.000277921272858766,1997
5,0.0010498450084693,1997
4,0.000607957538021843,1998
3,0.000424124550348522,1998
1,5.21436632413246e-07,1998
2,0.000256003231067536,1998
5,0.000917402990293947,1998
4,0.000783624794197481,1999
3,0.00052810823896862,1999
1,1.41942785851293e-07,1999
2,0.000296269727403156,1999
5,0.00121310076546618,1999
4,0.000888940538136179,2000
3,0.000528083123369529,2000
1,1.14982177762447e-07,2000
2,0.000253057502023608,2000
5,0.00147867393857933,2000
3,0.000565428161771758,2001
2,0.000309251673852326,2001
5,0.00144623766326859,2001
1,3.51265127118271e-07,2001
4,0.000862222489072605,2001
4,0.000801348495075835,2002
3,0.000545966789748009,2002
1,4.37224968110371e-08,2002
2,0.000343615247314831,2002
5,0.00127996018100266,2002
4,0.000857191127793856,2003
3,0.000607244501471154,2003
5,0.00136989096056908,2003
2,0.000395090364693124,2003
1,2.09506430462315e-07,2003
5,0.00101924756959805,2004
3,0.000490264052284602,2004
2,0.000307859665287786,2004
1,1.44198263429408e-07,2004
4,0.000680092685419466,2004
5,0.000971120980786582,2005
3,0.000487291501811293,2005
1,2.60525324893398e-07,2005
2,0.000309138674545566,2005
4,0.0006729338607785,2005
4,0.00063424803624134,2006
3,0.000447080023299966,2006
1,1.14615805255344e-07,2006
2,0.000280317287921876,2006
5,0.000901686798970139,2006
4,0.000603326780642308,2007
5,0.000856766513905146,2007
1,8.69295058073537e-08,2007
2,0.000264779542397295,2007
3,0.000426683886751743,2007
3,0.000483137621509495,2008
5,0.00105756258628814,2008
1,1.74806687776735e-07,2008
2,0.000285131134049992,2008
4,0.000701397932476995,2008
3,0.000742163424265158,2009
4,0.00109930719330921,2009
2,0.000450539734040067,2009
1,3.40454738243868e-07,2009
5,0.00174269655011024,2009
4,0.000931163170880626,2010
5,0.00140958242770745,2010
2,0.000377805044455089,2010
3,0.00063470124483766,2010
1,2.61930955000262e-07,2010
4,0.000813058357101829,2011
5,0.00125242510744625,2011
2,0.000309929082949253,2011
1,1.64701572250306e-07,2011
3,0.000537451194341093,2011
3,0.000651079935005897,2012
2,0.000367736146130232,2012
1,1.3960691975585e-07,2012
4,0.000980330104813173,2012
5,0.00150195687410876,2012
5,0.00119005761947471,2013
1,2.05204581354304e-07,2013
2,0.000307793980348395,2013
3,0.000529654221277322,2013
4,0.000811089666391491,2013
4,0.000711529989702025,2014
3,0.000460010737410296,2014
2,0.000259452065678205,2014
1,1.9944932579812e-07,2014
5,0.00108090891069757,2014
4,0.000687992072876449,2015
3,0.000432905568941657,2015
2,0.000238192598730509,2015
1,1.90005997243076e-07,2015
5,0.0010693726081491,2015
