"size_port","min_size","year"
5,209642.125,1970
2,11037.25,1970
3,26760.5,1970
4,66000.375,1970
1,202.0625,1970
5,302013,1971
2,14726.25,1971
3,35933.75,1971
4,92726.875,1971
1,784.6875,1971
4,96067.25,1972
2,15093,1972
3,38187.5,1972
5,322932,1972
1,1254.25,1972
5,139187.75,1973
2,7248.5,1973
4,39790.625,1973
1,193.5,1973
3,16072,1973
5,98098,1974
2,4312,1974
4,26672,1974
1,360,1974
3,10581,1974
5,114819.375,1975
2,4404.5,1975
4,30975,1975
1,330.75,1975
3,11181.75,1975
5,127562.5,1976
3,12673.5,1976
4,35245,1976
1,225.3125,1976
2,4873.5,1976
5,139899.375,1977
4,37083.375,1977
1,165.6875,1977
2,4940.875,1977
3,13281.25,1977
5,170586,1978
4,48552.375,1978
1,292.5,1978
2,6566.625,1978
3,18168.75,1978
5,178327.5,1979
4,49688.75,1979
1,202.5,1979
2,6651.75,1979
3,18117.1875,1979
5,200464,1980
4,54972,1980
1,157.5,1980
2,6723.125,1980
3,19096.5,1980
5,256338.25,1981
4,71523,1981
1,281.625,1981
2,9820.3125,1981
3,26513.875,1981
5,194077.25,1982
4,52643,1982
1,27.703125,1982
3,18742.75,1982
2,6551.78125,1982
4,91020.375,1983
1,306.46875,1983
5,306363.75,1983
3,34287.75,1983
2,12180.9375,1983
5,236305.5,1984
2,8776.875,1984
4,66345,1984
1,251.25,1984
3,23636.375,1984
2,8840,1985
4,73455,1985
1,195,1985
5,276297.5,1985
3,25549,1985
2,10978.5,1986
1,50.375,1986
4,90653.0625,1986
3,32041.5,1986
5,347915.25,1986
1,332.0625,1987
3,31697.75,1987
2,11308.875,1987
4,85493,1987
5,328588,1987
1,49.21875,1988
2,8358.1875,1988
5,286206.34375,1988
3,25012.5,1988
4,72191.25,1988
1,67.5,1989
2,8931.25,1989
5,342074.25,1989
4,83596.875,1989
3,28387.5,1989
2,8493.75,1990
1,130.375,1990
3,27722.5,1990
4,86986,1990
5,353136.375,1990
2,8613.53125,1991
1,22.359375,1991
4,95480,1991
3,30431.25,1991
5,389096.25,1991
2,12279.875,1992
3,39052.125,1992
1,26.875,1992
4,114386.25,1992
5,428355,1992
2,15609.75,1993
3,44638,1993
4,119711.875,1993
1,53.125,1993
5,440904,1993
1,52.109375,1994
2,17826.25,1994
3,48293,1994
4,123139.5,1994
5,436084.25,1994
1,32.34375,1995
2,18772.875,1995
3,51918.75,1995
4,134631.5,1995
5,462808,1995
1,8.75,1996
2,26734.375,1996
3,76364.625,1996
4,195643.5,1996
5,616569,1996
1,4.375,1997
2,24633,1997
3,69559,1997
4,187549.875,1997
5,648986,1997
1,25.3125,1998
3,90697.5,1998
2,31200.9375,1998
4,243805.5,1998
5,804501,1998
1,47.5625,1999
3,75633.1875,1999
2,27045,1999
4,225574.875,1999
5,804423.1875,1999
1,52.34375,2000
3,85265.25,2000
4,255626.71875,2000
2,28165.5,2000
5,976853.4375,2000
1,276.75,2001
3,84685.7989711761,2001
2,27758.2495474815,2001
4,291855.5,2001
5,1069485,2001
1,34.2000007629395,2002
3,96626.4975261688,2002
2,29845.1992607117,2002
4,311657.412887573,2002
5,1134727.7943573,2002
1,88.5500007867813,2003
3,111544.5,2003
2,34314.25,2003
4,343339.892683029,2003
5,1195563.55999374,2003
1,315,2004
3,182621.113769531,2004
2,60060,2004
4,512727.693653107,2004
5,1627082.05799103,2004
1,218.90000474453,2005
3,200941.440855503,2005
2,68498.2804384232,2005
4,565559.375049591,2005
5,1795124.61357498,2005
1,295.200011730194,2006
2,85760.822329402,2006
3,256357.137554169,2006
4,682755.807514191,2006
5,2125469.96343613,2006
1,292.319997787476,2007
2,97213.5039138794,2007
3,292135.277988434,2007
4,782672.794952393,2007
5,2675742.37145233,2007
1,577.209966182709,2008
2,75595.5,2008
3,236548.195576668,2008
4,655297.012233734,2008
5,2432621.82028389,2008
1,362.839999079704,2009
2,48469.7394518852,2009
3,168745.394808769,2009
4,496224,2009
5,1764998.05804253,2009
2,68216.1287727356,2010
4,664109.933242798,2010
1,533.56502866745,2010
5,2262869.97013092,2010
3,232781.364530563,2010
2,82931.1011462212,2011
1,1316.38502562046,2011
4,906646.509214401,2011
5,3069216.93779373,2011
3,292251.302089691,2011
2,71688,2012
4,797920.207686424,2012
1,322.560012817383,2012
5,2726821.82821655,2012
3,260046.988031745,2012
1,267.039090394974,2013
3,361404.5,2013
4,1124496.02508545,2013
5,3721703.57583618,2013
2,94166.4607429504,2013
1,1789.99996185303,2014
2,122279.046569824,2014
4,1265361.82146549,2014
5,4312729.83169556,2014
3,419141.25,2014
1,654.999971389771,2015
2,119371.25,2015
4,1345200.9597168,2015
5,4433418.06564331,2015
3,436980.237876892,2015
