"size_port","min_size","year"
5,99229.375,1970
3,16048,1970
4,33806.25,1970
2,7610.25,1970
1,202.0625,1970
5,141916.5,1971
2,9878.125,1971
4,46915,1971
1,784.6875,1971
3,23216.875,1971
5,142726.5,1972
3,22375.75,1972
4,48965.125,1972
2,10374,1972
1,1341.5625,1972
5,80896,1973
2,5526,1973
1,193.5,1973
4,25723.125,1973
3,11610,1973
5,57789.375,1974
3,8413,1974
1,360,1974
4,18309.375,1974
2,3564,1974
5,68250,1975
3,8619,1975
1,330.75,1975
4,20418.75,1975
2,3724.5,1975
5,72081.25,1976
3,9446.25,1976
1,225.3125,1976
2,3939.75,1976
4,22941.5,1976
5,77646.25,1977
1,165.6875,1977
2,4014.6875,1977
3,9755.5,1977
4,24640.875,1977
5,91593.75,1978
2,4880.0625,1978
1,292.5,1978
3,12195,1978
4,29401.75,1978
5,95184.375,1979
1,202.5,1979
2,4896,1979
4,30015,1979
3,12069.75,1979
5,103655.25,1980
1,157.5,1980
3,11934,1980
2,4529.125,1980
4,31020,1980
5,135908.5,1981
1,281.625,1981
3,15066,1981
2,6335,1981
4,37636.75,1981
5,108173.625,1982
1,27.703125,1982
3,11040,1982
2,4380,1982
4,28801.5,1982
5,173023.875,1983
1,306.46875,1983
4,48198,1983
2,7396.09375,1983
3,18772.5,1983
5,154413,1984
1,251.25,1984
4,39009.375,1984
2,5806.25,1984
3,14016.5,1984
2,5708.484375,1985
1,195,1985
4,43093.75,1985
5,182857.5,1985
3,14913.75,1985
2,6727.5,1986
1,50.375,1986
4,54258.75,1986
3,18705.75,1986
5,225942.75,1986
1,332.0625,1987
2,6726.5,1987
4,51979.75,1987
3,18761.625,1987
5,222601.375,1987
1,49.21875,1988
2,5148,1988
3,15944.25,1988
5,211452.9375,1988
4,47235,1988
1,67.5,1989
2,5676,1989
4,51852.625,1989
3,17006.25,1989
5,232280.625,1989
1,131.90625,1990
2,5284.375,1990
4,50575,1990
3,15404,1990
5,237250,1990
1,22.359375,1991
3,16059.75,1991
4,50911.875,1991
2,5250.625,1991
5,267502,1991
4,68010.625,1992
2,7877.125,1992
1,26.875,1992
3,21684.375,1992
5,332606.25,1992
2,10556,1993
3,27074.5,1993
4,71236,1993
1,53.125,1993
5,313235,1993
3,31616,1994
2,12936,1994
4,81149.25,1994
1,52.109375,1994
5,334698,1994
3,33196.5,1995
2,13434.75,1995
4,85204,1995
1,32.34375,1995
5,366912,1995
2,18115.125,1996
3,47652,1996
4,121605,1996
1,8.75,1996
5,476427,1996
3,47832,1997
2,16760.25,1997
4,128571.5,1997
1,4.375,1997
5,556553.5,1997
3,61631.25,1998
2,20821.5,1998
4,167796,1998
1,25.3125,1998
5,708617,1998
3,51170.5,1999
2,18832.0625,1999
4,143883.75,1999
1,47.5625,1999
5,652915.375,1999
3,52442.25,2000
4,152865.25,2000
2,19524.75,2000
5,665075.625,2000
1,52.34375,2000
3,52921.6816205978,2001
2,18593.5098609924,2001
1,276.75,2001
4,172538.412721634,2001
5,791587.76058197,2001
3,61431.5,2002
2,20228.7595932484,2002
4,195856.798553467,2002
1,34.2000007629395,2002
5,928895.114974976,2002
3,70949.9019271135,2003
2,24124.6527900696,2003
4,230308.477991104,2003
1,88.5500007867813,2003
5,1033012.71974564,2003
3,116566.37756443,2004
1,315,2004
2,39919.2293930054,2004
5,1485352.27426147,2004
4,365941.531807899,2004
3,138797.75,2005
1,218.90000474453,2005
4,433856.92893219,2005
2,47944.4520378113,2005
5,1746683.73336887,2005
3,183267.1842978,2006
4,556649.202079773,2006
1,295.200011730194,2006
2,62624.0009331703,2006
5,2043678.07815552,2006
2,75062.517780304,2007
3,233296.559310913,2007
4,703863.751741409,2007
1,292.319997787476,2007
5,2752272.48947144,2007
2,65860.5221786499,2008
3,207231.211736679,2008
1,577.209966182709,2008
4,633003.057252884,2008
5,2634865.77014923,2008
2,44679.7506928444,2009
3,158196.358165741,2009
4,506090.416416168,2009
1,362.839999079704,2009
5,1962712.707798,2009
2,59769.8689155579,2010
4,682284.918458939,2010
1,533.56502866745,2010
5,2556130.05812073,2010
3,216388,2010
1,1316.38502562046,2011
2,71737.827009201,2011
3,275249.01432991,2011
4,929226.507003784,2011
5,3523341.84186172,2011
2,63494.1984272003,2012
4,826123.186950684,2012
1,322.560012817383,2012
5,3221463.33877563,2012
3,247125.67083168,2012
3,359088.75,2013
4,1198072.16019058,2013
1,267.039090394974,2013
5,4347549.44366455,2013
2,85507.9714409709,2013
2,110193.652929306,2014
4,1458888.29814911,2014
1,1789.99996185303,2014
3,433560.322105408,2014
5,5123116.5151062,2014
2,118525,2015
4,1532208.33465576,2015
1,654.999971389771,2015
5,5380361.54511642,2015
3,469013.309128284,2015
