"size_date","size_ret"
"5 1970-01-02",0.0103644727543597
"3 1970-01-02",0.0411505823927969
"4 1970-01-02",0.0250943706753868
"2 1970-01-02",0.0496696583520684
"1 1970-01-02",0.0618471748231251
"5 1970-01-05",0.00741070150110861
"3 1970-01-05",0.0214599980699481
"4 1970-01-05",0.0121834368450686
"2 1970-01-05",0.0280356573245067
"1 1970-01-05",0.040716784909455
"5 1970-01-06",-0.00631047764430562
"3 1970-01-06",-0.00634549240344868
"4 1970-01-06",-0.00825209041520589
"2 1970-01-06",-0.00384180973256028
"1 1970-01-06",0.000334919208800216
"5 1970-01-07",-0.00173321512531929
"3 1970-01-07",0.0033967657242747
"4 1970-01-07",0.00153603179238918
"2 1970-01-07",0.00934157315083552
"1 1970-01-07",0.0140307679938997
"5 1970-01-08",0.00022107908210463
"3 1970-01-08",0.00286694146844625
"4 1970-01-08",0.00218030785643287
"2 1970-01-08",0.00274018890336428
"1 1970-01-08",0.0116405350740191
"5 1970-01-09",-0.00241190526778664
"3 1970-01-09",-0.00189768676474229
"4 1970-01-09",-0.00231962600491999
"2 1970-01-09",-0.00388923394231027
"1 1970-01-09",-0.00126962511917898
"5 1970-01-12",-0.0062186321063106
"3 1970-01-12",-0.0118956730772048
"4 1970-01-12",-0.00839114272353391
"2 1970-01-12",-0.0120208396139565
"1 1970-01-12",-0.00756177927770296
"5 1970-01-13",0.00319119691824537
"3 1970-01-13",0.000664742199577578
"4 1970-01-13",-0.00212420159381514
"2 1970-01-13",-0.00232945904155664
"1 1970-01-13",-0.000790920739750567
"5 1970-01-14",-0.00378439798538517
"3 1970-01-14",-0.00650849720274869
"4 1970-01-14",-0.0068873174845159
"2 1970-01-14",-0.00591482300349132
"1 1970-01-14",-0.0069478922893543
"5 1970-01-15",0.00650085963573834
"3 1970-01-15",-0.00270339407840994
"4 1970-01-15",-0.000987404570068983
"2 1970-01-15",-0.00560688951270486
"1 1970-01-15",-0.00280223208906042
"5 1970-01-16",-0.0100598649151461
"3 1970-01-16",-0.00533177272845701
"4 1970-01-16",-0.00867978405102092
"2 1970-01-16",-0.00765017498332135
"1 1970-01-16",-0.00587969701847346
"5 1970-01-19",-0.0209637666803058
"3 1970-01-19",-0.00757039331115749
"4 1970-01-19",-0.0100502003437153
"2 1970-01-19",-0.0115290657366791
"1 1970-01-19",-0.0094851489653388
"5 1970-01-20",0.00685787724244422
"3 1970-01-20",0.00614670237986296
"4 1970-01-20",0.00372810826544116
"2 1970-01-20",0.00358783072623976
"1 1970-01-20",-0.000358824287860339
"5 1970-01-21",-0.00020571881027344
"3 1970-01-21",0.000568534109800524
"4 1970-01-21",0.00230633065183392
"2 1970-01-21",0.000353514299422262
"1 1970-01-21",0.00495602276080898
"5 1970-01-22",0.00103262296560177
"3 1970-01-22",-0.000514600485954264
"4 1970-01-22",0.00330995446893663
"2 1970-01-22",0.000766950513230254
"1 1970-01-22",0.00175930637717481
"5 1970-01-23",-0.00749755253785309
"3 1970-01-23",-0.013436260172942
"4 1970-01-23",-0.0115553406865292
"2 1970-01-23",-0.0130615202424925
"1 1970-01-23",-0.0120465533826358
"5 1970-01-26",-0.0141490290883747
"3 1970-01-26",-0.0182517398588097
"4 1970-01-26",-0.0149228958566832
"2 1970-01-26",-0.0154269710110234
"1 1970-01-26",-0.0166682486165739
"5 1970-01-27",-0.00689306475484332
"3 1970-01-27",-0.00320024041150853
"4 1970-01-27",-0.00537472332483907
"2 1970-01-27",-0.00285104952866693
"1 1970-01-27",-0.00567377220392878
"5 1970-01-28",-0.0092475774394572
"3 1970-01-28",-0.00895447574046546
"4 1970-01-28",-0.00564270285155224
"2 1970-01-28",-0.00587693596499788
"1 1970-01-28",-0.00856223843919057
"5 1970-01-29",-0.0131085182525079
"3 1970-01-29",-0.0134923529811441
"4 1970-01-29",-0.0105339262939916
"2 1970-01-29",-0.0129107525894943
"1 1970-01-29",-0.0127178220454548
"5 1970-01-30",-0.00680623213724559
"3 1970-01-30",-0.00734465067805739
"4 1970-01-30",-0.00924231122849446
"2 1970-01-30",-0.00664253195013497
"1 1970-01-30",-0.00893269398244001
"5 1970-02-02",0.00926110735698179
"3 1970-02-02",0.00619136026255608
"4 1970-02-02",0.00645761841688123
"2 1970-02-02",0.00629515858700193
"1 1970-02-02",0.00768234245780925
"5 1970-02-03",0.00979380374377379
"3 1970-02-03",0.0138924035309397
"4 1970-02-03",0.0123271567616114
"2 1970-02-03",0.0131290648519252
"1 1970-02-03",0.0118394366529024
"5 1970-02-04",-0.00809147586853396
"3 1970-02-04",-0.0112852850235626
"4 1970-02-04",-0.01042586660519
"2 1970-02-04",-0.00897534198353249
"1 1970-02-04",-0.00779276734439579
"5 1970-02-05",-0.000910985005043523
"3 1970-02-05",-0.00511648669791173
"4 1970-02-05",-0.00683039851219421
"2 1970-02-05",-0.00746562110803171
"1 1970-02-05",-0.00457204704271373
"5 1970-02-06",0.00785632563614783
"3 1970-02-06",0.00493210392400596
"4 1970-02-06",0.00768604008573838
"2 1970-02-06",0.00451693827334923
"1 1970-02-06",0.00290350072292873
"5 1970-02-09",0.0086331353776258
"3 1970-02-09",0.00303077654244254
"4 1970-02-09",0.00763302642216095
"2 1970-02-09",0.00368220798737923
"1 1970-02-09",0.00166879662636262
"5 1970-02-10",-0.00944045498511762
"3 1970-02-10",-0.00901710455760667
"4 1970-02-10",-0.00669809842920951
"2 1970-02-10",-0.010136217238019
"1 1970-02-10",-0.00972884770966014
"5 1970-02-11",0.0113064673666846
"3 1970-02-11",0.00648227905163578
"4 1970-02-11",0.00861593721553104
"2 1970-02-11",0.00365876996126045
"1 1970-02-11",-0.000944310530056414
"5 1970-02-12",-0.00203216456799041
"3 1970-02-12",-0.000347147860746745
"4 1970-02-12",0.00176769406718527
"2 1970-02-12",-0.00149612900734982
"1 1970-02-12",-0.00251390524012911
"5 1970-02-13",-0.00311182259814951
"3 1970-02-13",-0.00100020295377329
"4 1970-02-13",-0.000653985972934971
"2 1970-02-13",0.00158811943361724
"1 1970-02-13",-0.00478121598281563
"5 1970-02-16",0.00174487145058705
"3 1970-02-16",-0.00138744635185197
"4 1970-02-16",0.000441078826874638
"2 1970-02-16",0.00173857548831373
"1 1970-02-16",3.95922510156414e-05
"5 1970-02-17",-0.00194601527353199
"3 1970-02-17",-0.00351899955732188
"4 1970-02-17",-0.00391782937364189
"2 1970-02-17",-0.00426567340333904
"1 1970-02-17",-0.0058048521230585
"5 1970-02-18",0.0106180043576741
"3 1970-02-18",0.011828830484214
"4 1970-02-18",0.0126997841500708
"2 1970-02-18",0.0101076928054997
"1 1970-02-18",0.00632580879881308
"5 1970-02-19",0.0080295139975247
"3 1970-02-19",0.00260689117771421
"4 1970-02-19",0.00233243846355739
"2 1970-02-19",0.00228689181619926
"1 1970-02-19",0.000744558131151627
