"size_date","size_ret"
"5 1970-01-02",0.0101655221036002
"3 1970-01-02",0.0406112634650222
"4 1970-01-02",0.0250373717637384
"2 1970-01-02",0.0482570985374296
"1 1970-01-02",0.0608537972472409
"5 1970-01-05",0.00731692596129022
"3 1970-01-05",0.0215918165742949
"4 1970-01-05",0.0110238830058783
"2 1970-01-05",0.0267157556881084
"1 1970-01-05",0.0399383573396553
"5 1970-01-06",-0.00628788588136151
"3 1970-01-06",-0.0078802731705259
"4 1970-01-06",-0.00901405177976848
"2 1970-01-06",-0.00537017595520792
"1 1970-01-06",0.000607892461007825
"5 1970-01-07",-0.00154044082226326
"3 1970-01-07",0.00256340713175348
"4 1970-01-07",0.00117987412489072
"2 1970-01-07",0.00916172323922428
"1 1970-01-07",0.0146691894246645
"5 1970-01-08",0.000443303478288247
"3 1970-01-08",0.00286682709132811
"4 1970-01-08",0.00226698252467101
"2 1970-01-08",0.00140145206780721
"1 1970-01-08",0.0114568231947892
"5 1970-01-09",-0.00272172599538005
"3 1970-01-09",-0.0012261956479064
"4 1970-01-09",-0.0027222233569073
"2 1970-01-09",-0.00377956589750807
"1 1970-01-09",-0.00186016135649158
"5 1970-01-12",-0.00636471773410768
"3 1970-01-12",-0.0119300928885246
"4 1970-01-12",-0.00883226495649083
"2 1970-01-12",-0.0116855810992419
"1 1970-01-12",-0.00788502041890346
"5 1970-01-13",0.00361372550785824
"3 1970-01-13",0.000495874887824387
"4 1970-01-13",-0.00197213096794918
"2 1970-01-13",-0.00107347547733557
"1 1970-01-13",-0.000313444306125764
"5 1970-01-14",-0.00364032341484254
"3 1970-01-14",-0.00621834493951997
"4 1970-01-14",-0.00737378697102492
"2 1970-01-14",-0.00599542077647072
"1 1970-01-14",-0.0066688585925335
"5 1970-01-15",0.00706845468247038
"3 1970-01-15",-0.00255556353068585
"4 1970-01-15",0.000468830121219527
"2 1970-01-15",-0.00523143796928206
"1 1970-01-15",-0.00302015697066981
"5 1970-01-16",-0.0104082044484838
"3 1970-01-16",-0.00587949773128155
"4 1970-01-16",-0.00892687399682589
"2 1970-01-16",-0.00776653498278156
"1 1970-01-16",-0.00517786796954564
"5 1970-01-19",-0.0214297663790347
"3 1970-01-19",-0.00776406769382704
"4 1970-01-19",-0.0115792175029114
"2 1970-01-19",-0.0122916551841111
"1 1970-01-19",-0.00854291874641473
"5 1970-01-20",0.00702592259423763
"3 1970-01-20",0.00822639399739684
"4 1970-01-20",0.0047929975117624
"2 1970-01-20",0.00491811709889666
"1 1970-01-20",0.000743326357693854
"5 1970-01-21",2.33561886683707e-05
"3 1970-01-21",0.000831985035280517
"4 1970-01-21",0.00199883385559455
"2 1970-01-21",6.81384011496565e-06
"1 1970-01-21",0.00539917164183607
"5 1970-01-22",0.00121898945467981
"3 1970-01-22",-0.000393004099969019
"4 1970-01-22",0.00332015578926489
"2 1970-01-22",0.00165374373721504
"1 1970-01-22",0.00224354629242403
"5 1970-01-23",-0.00758698837976092
"3 1970-01-23",-0.0141319701948402
"4 1970-01-23",-0.0124757831739233
"2 1970-01-23",-0.0130669560896957
"1 1970-01-23",-0.0125013935289765
"5 1970-01-26",-0.0146880715493535
"3 1970-01-26",-0.018603710271433
"4 1970-01-26",-0.0157546611539739
"2 1970-01-26",-0.0161566873903467
"1 1970-01-26",-0.0156662059331259
"5 1970-01-27",-0.00677753502423283
"3 1970-01-27",-0.00238147336244121
"4 1970-01-27",-0.00469767436723122
"2 1970-01-27",-0.00153598878906233
"1 1970-01-27",-0.00627857002528865
"5 1970-01-28",-0.00884247339573324
"3 1970-01-28",-0.00955443757589192
"4 1970-01-28",-0.00593536088267003
"2 1970-01-28",-0.00616293549466127
"1 1970-01-28",-0.008909797941547
"5 1970-01-29",-0.0125980684115544
"3 1970-01-29",-0.0136481287004646
"4 1970-01-29",-0.0112500296035137
"2 1970-01-29",-0.0128275153407785
"1 1970-01-29",-0.0124338424567627
"5 1970-01-30",-0.00717490438570981
"3 1970-01-30",-0.00722257659857317
"4 1970-01-30",-0.0106222473722725
"2 1970-01-30",-0.00629474276607684
"1 1970-01-30",-0.0086803032084828
"5 1970-02-02",0.00925061366536411
"3 1970-02-02",0.00669185270174062
"4 1970-02-02",0.00655372673843659
"2 1970-02-02",0.00591021916835964
"1 1970-02-02",0.0082433350779236
