"Year","Permno"
1970,NA
1970,NA
1970,19829
1970,NA
1970,NA
1970,51035
1970,NA
1970,NA
1970,40337
1970,38156
1970,NA
1970,NA
1970,NA
1970,NA
1970,50578
1970,47707
1970,NA
1970,18818
1970,24388
1970,NA
1970,NA
1970,NA
1970,54383
1970,47781
1970,NA
1970,NA
1970,45874
1970,NA
1970,27385
1970,10413
1970,45436
1970,47423
1970,NA
1970,28150
1970,NA
1970,NA
1970,42156
1970,NA
1970,NA
1970,NA
1970,77869
1970,NA
1970,NA
1970,NA
1970,NA
1970,74500
1970,NA
1970,25057
1970,NA
1970,53866
1970,46295
1970,NA
1970,60193
1970,59994
1970,NA
1970,NA
1970,NA
1970,NA
1970,47080
1970,51457
1970,65534
1970,13486
1970,57920
1970,52951
1970,NA
1970,NA
1970,NA
1970,50403
1970,NA
1970,23720
1970,NA
1970,NA
1970,54950
1970,63320
1970,NA
1970,NA
1970,NA
1970,NA
1970,NA
1970,NA
1970,NA
1970,NA
1970,NA
1970,NA
1970,NA
1970,NA
1970,70747
1970,51983
1970,46770
1970,NA
1970,51473
1970,NA
1970,NA
1970,69332
1970,11784
1970,35677
1970,61153
1970,NA
1970,NA
1970,NA
1970,NA
1970,NA
1970,NA
1970,10604
1970,NA
1970,NA
1970,NA
1970,NA
1970,NA
1970,NA
1970,NA
1970,19028
1970,NA
1970,76292
1970,51908
1970,NA
1970,NA
1970,59089
1970,60653
1970,41662
1970,NA
1970,34711
1970,39635
1970,60097
1970,76959
1970,NA
1970,NA
1970,NA
1970,75030
1970,NA
1970,NA
1970,13654
1970,NA
1970,24708
1970,NA
1970,NA
1970,54041
1970,51975
1970,NA
1970,NA
1970,NA
1970,27959
1970,NA
1970,NA
1970,NA
1970,NA
1970,42091
1970,46325
1970,33283
1970,50921
1970,50606
1970,19343
1970,52791
1970,NA
1970,60644
1970,23405
1970,NA
1970,NA
1970,19183
1970,NA
1970,61640
1970,NA
1970,NA
1970,50139
1970,NA
1970,59352
1970,NA
1970,55642
1970,NA
1970,51238
1970,NA
1970,80378
1970,11907
1970,NA
1970,26439
1970,NA
1970,NA
1970,61787
1970,NA
1970,29197
1970,NA
1970,44935
1970,NA
1970,NA
1970,52038
1970,53751
1970,58018
1970,NA
1970,NA
1970,NA
1970,48194
1970,65860
1970,42198
1970,NA
1970,50498
1970,67126
1970,68698
1970,27116
1970,63002
1970,50753
1970,NA
1970,23448
1970,NA
1970,NA
1970,34965
1970,24459
1970,NA
1970,NA
1970,25072
1970,NA
1970,NA
1970,NA
1970,NA
1970,NA
1970,47052
1970,61313
1970,74801
1970,43626
1970,46229
1970,62738
1970,NA
1970,41751
1970,18374
1970,54544
1970,NA
1970,53508
1970,74836
1970,32110
1970,53495
1970,84375
1970,NA
1970,44522
1970,24424
1970,NA
1970,48945
1970,NA
1970,52310
1970,NA
1970,NA
1970,NA
1970,NA
1970,18446
1970,NA
1970,NA
1970,56004
1970,NA
1970,11966
1970,68523
1970,53145
1970,NA
1970,48531
1970,66529
1970,45081
1970,NA
1970,NA
1970,50999
1970,NA
1970,NA
1970,34286
1970,51078
1970,NA
1970,NA
1970,NA
1970,42439
1970,NA
1970,NA
1970,60055
1970,45858
1970,48645
1970,81358
1970,10146
1970,NA
1970,51369
1970,16847
1970,NA
1970,NA
1970,53460
1970,50614
1970,NA
1970,NA
1970,47635
1970,NA
1970,NA
1970,81198
1970,NA
1970,18358
1970,NA
1970,NA
1970,NA
1970,25099
1970,55044
1970,30541
1970,NA
1970,NA
1970,54295
1970,42076
1970,NA
1970,NA
1970,NA
1970,NA
1970,74078
1970,NA
1970,11931
1970,56338
1970,51887
1970,34017
1970,NA
1970,53130
1970,NA
1970,NA
1970,51887
1970,11763
1970,NA
1970,NA
1970,51123
1970,19706
1970,NA
1970,54519
1970,NA
1970,60361
1970,NA
1970,49250
1970,NA
1970,48961
1970,41443
1970,24010
1970,NA
1970,NA
1970,55482
1970,NA
1970,51959
1970,NA
1970,50964
1970,23851
1970,66975
1970,NA
1970,NA
1970,21849
1970,50892
1970,NA
1970,NA
1970,NA
1970,NA
1970,12626
1970,NA
1970,NA
1970,32564
1970,65219
1970,49146
1970,77033
1970,NA
1970,NA
1970,24476
1970,NA
1970,80021
1970,80212
1970,NA
1970,NA
1970,49971
1970,52927
1970,24141
1970,NA
1970,NA
1970,NA
1970,39669
1970,72072
1970,26075
1970,NA
1970,23552
1970,51158
1970,NA
1970,15975
1970,58894
1970,NA
1970,39642
1970,NA
1970,40599
1970,NA
1970,NA
1970,NA
1970,32264
1970,42964
1970,51481
1970,24425
1970,14518
1970,NA
1970,NA
1970,54623
1970,54252
1970,NA
1970,NA
1970,24002
1970,78909
1970,NA
1970,NA
1970,52580
1970,NA
1970,64785
1970,42526
1970,NA
1970,NA
1970,31297
1970,44098
1970,54578
1970,51465
1970,54084
1970,72048
1970,12803
1970,19714
1970,NA
1970,NA
1970,NA
1970,NA
1970,78530
1970,31887
1970,NA
1970,50375
1970,52185
1970,72507
1970,NA
1970,NA
1970,NA
1970,65817
1970,NA
1970,NA
1970,51692
1970,NA
1970,NA
1970,47670
1970,72945
1970,21574
1970,NA
1970,69025
1970,64557
1970,52353
1970,24184
1970,NA
1970,60274
1970,24870
1970,31983
1970,NA
1970,NA
1970,46712
1970,78530
1970,NA
1970,70296
1970,NA
1970,51561
1970,24985
1970,63503
1970,41275
1970,23712
1970,NA
1970,31384
1970,NA
1970,NA
1970,43916
1970,66587
1970,NA
1970,NA
1970,75540
1970,26788
1970,NA
1970,54114
1970,59811
1970,NA
1970,49972
1970,NA
1970,51895
1970,54738
1970,33735
1970,NA
1970,56493
1970,45209
1970,60215
1970,22613
1970,55976
1970,NA
1970,14569
1970,NA
1970,52177
1970,39087
1970,24109
1970,59635
1970,53700
1970,41233
1970,44601
1970,51764
1970,18949
1970,23114
1970,55168
1970,80873
1970,81825
1970,51916
1970,52281
1970,28258
1970,NA
1970,71192
1970,NA
1970,53014
1970,57277
1970,NA
1970,36680
1970,49189
1970,43238
1970,55810
1970,60397
1970,66959
1970,16678
1970,23317
1970,51625
1970,53146
1970,23931
1970,NA
1970,59417
1970,70173
1970,NA
1970,39140
1970,39781
1970,73243
1970,63474
1970,46703
1970,53672
1970,44206
1970,NA
1970,67540
1970,49816
1970,NA
1970,53954
1970,NA
1970,NA
1970,NA
1970,51991
1970,47248
1970,41910
1970,46922
1970,NA
1970,22541
1970,NA
1970,10890
1970,81296
1970,26606
1970,50980
1970,19802
1970,54025
1970,52426
1970,66756
1970,18411
1970,51043
1970,NA
1970,46017
1970,78423
1970,10137
1970,12061
1970,52097
1970,NA
1970,NA
1970,17339
1970,31123
1970,37197
1970,54842
1970,52572
1970,NA
1970,54877
1970,62157
1970,25072
